network som, neural, f_score, 0.459637, f_score_similar, 0.459637, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0, cophenet, 0, roughness, 0, %, 56, 0, % 
cityblock, median, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.0532, cophenet, 0.801236, roughness, 15.4075, %, 28, 28, % 
minkowski, median, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.08109, cophenet, 0.821635, roughness, 10.7552, %, 28, 29, % 
chebychev, median, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.16458, cophenet, 0.896103, roughness, 10.0554, %, 28, 30, % 
cosine, median, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.29059, cophenet, 0.937401, roughness, 0.000175951, %, 28, 31, % 
spearman, median, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0.404029, cophenet, 0.900484, roughness, 0.00526696, %, 28, 32, % 
euclidean, single, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.35513, cophenet, 0.87535, roughness, 13.0605, %, 28, 33, % 
seuclidean, single, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0.974971, cophenet, 0.902737, roughness, 0.680047, %, 28, 34, % 
cityblock, single, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.35763, cophenet, 0.855435, roughness, 18.7967, %, 28, 35, % 
minkowski, single, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.35513, cophenet, 0.87535, roughness, 13.0605, %, 28, 36, % 
chebychev, single, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.30551, cophenet, 0.890181, roughness, 10.8705, %, 28, 37, % 
cosine, single, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.31224, cophenet, 0.936394, roughness, 0.000185606, %, 28, 38, % 
spearman, single, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0.592521, cophenet, 0.887713, roughness, 0.00526696, %, 28, 39, % 
euclidean, weighted, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.11153, cophenet, 0.822235, roughness, 10.7944, %, 28, 40, % 
seuclidean, weighted, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.10219, cophenet, 0.9302, roughness, 0.689826, %, 28, 41, % 
cityblock, weighted, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.10913, cophenet, 0.801193, roughness, 15.4075, %, 28, 42, % 
minkowski, weighted, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.11153, cophenet, 0.822235, roughness, 10.7944, %, 28, 43, % 
chebychev, weighted, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.14288, cophenet, 0.89611, roughness, 10.0142, %, 28, 44, % 
cosine, weighted, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.29268, cophenet, 0.937224, roughness, 0.000175951, %, 28, 45, % 
spearman, weighted, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0.733219, cophenet, 0.900586, roughness, 0.00526696, %, 28, 46, % 
euclidean, ward, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0.997344, cophenet, 0.607775, roughness, 10.6799, %, 28, 47, % 
seuclidean, ward, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0.918967, cophenet, 0.7966, roughness, 0.687416, %, 28, 48, % 
cityblock, ward, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.00361, cophenet, 0.620174, roughness, 16.307, %, 28, 49, % 
minkowski, ward, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0.997344, cophenet, 0.607775, roughness, 10.6799, %, 28, 50, % 
chebychev, ward, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.07738, cophenet, 0.749162, roughness, 10.0142, %, 28, 51, % 
cosine, ward, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 1.27799, cophenet, 0.922023, roughness, 0.000180716, %, 28, 52, % 
spearman, ward, f_score, 1, f_score_similar, 1, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0.748952, cophenet, 0.881868, roughness, 0.00536316, %, 28, 53, % 
network som, neural, f_score, 0.383501, f_score_similar, 0.383501, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0, cophenet, 0, roughness, 0, %, 28, 0, % 
sqeuclidean, kmeans, f_score, 0.468537, f_score_similar, 0.468537, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0, cophenet, 0, roughness, 0, %, 28, 1, % 
cityblock, kmeans, f_score, 0.458844, f_score_similar, 0.458844, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0, cophenet, 0, roughness, 0, %, 28, 2, % 
cosine, kmeans, f_score, 0.44932, f_score_similar, 0.44932, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0, cophenet, 0, roughness, 0, %, 28, 3, % 
correlation, kmeans, f_score, 0.451786, f_score_similar, 0.451786, Avg_gene_dist, 0, simmialr gene dist, 0, variance, 0, inconsistency, 0, cophenet, 0, roughness, 0, %, 28, 4, % 
euclidean, average, f_score, 0.428455, f_score_similar, 0.428455, Avg_gene_dist, 32.6866, simmialr gene dist, 0, variance, 558, inconsistency, 1.1899, cophenet, 0.979119, roughness, 48.1965, %, 28, 5, % 
seuclidean, average, f_score, 0.437812, f_score_similar, 0.437812, Avg_gene_dist, 31.6447, simmialr gene dist, 0, variance, 576, inconsistency, 1.09328, cophenet, 0.967003, roughness, 0.535267, %, 28, 6, % 
cityblock, average, f_score, 0.428455, f_score_similar, 0.428455, Avg_gene_dist, 32.711, simmialr gene dist, 0, variance, 570, inconsistency, 1.20587, cophenet, 0.978734, roughness, 88.0212, %, 28, 7, % 
minkowski, average, f_score, 0.428455, f_score_similar, 0.428455, Avg_gene_dist, 32.6866, simmialr gene dist, 0, variance, 558, inconsistency, 1.1899, cophenet, 0.979119, roughness, 48.1965, %, 28, 8, % 
chebychev, average, f_score, 0.449714, f_score_similar, 0.449714, Avg_gene_dist, 32.882, simmialr gene dist, 0, variance, 584, inconsistency, 1.31449, cophenet, 0.971097, roughness, 36.5825, %, 28, 9, % 
cosine, average, f_score, 0.438917, f_score_similar, 0.438917, Avg_gene_dist, 30.4251, simmialr gene dist, 0, variance, 612, inconsistency, 1.60452, cophenet, 0.989599, roughness, 0.0214505, %, 28, 10, % 
spearman, average, f_score, 0.447024, f_score_similar, 0.447024, Avg_gene_dist, 30.1175, simmialr gene dist, 0, variance, 716, inconsistency, 1.17705, cophenet, 0.97622, roughness, 0.0162549, %, 28, 11, % 
euclidean, centroid, f_score, 0.428455, f_score_similar, 0.428455, Avg_gene_dist, 32.6866, simmialr gene dist, 0, variance, 558, inconsistency, 1.18845, cophenet, 0.978949, roughness, 48.1965, %, 28, 12, % 
seuclidean, centroid, f_score, 0.449717, f_score_similar, 0.449717, Avg_gene_dist, 31.1826, simmialr gene dist, 0, variance, 676, inconsistency, 1.05236, cophenet, 0.965689, roughness, 0.537495, %, 28, 13, % 
cityblock, centroid, f_score, 0.423495, f_score_similar, 0.423495, Avg_gene_dist, 32.711, simmialr gene dist, 0, variance, 570, inconsistency, 1.20405, cophenet, 0.978684, roughness, 88.0212, %, 28, 14, % 
minkowski, centroid, f_score, 0.428455, f_score_similar, 0.428455, Avg_gene_dist, 32.6866, simmialr gene dist, 0, variance, 558, inconsistency, 1.18845, cophenet, 0.978949, roughness, 48.1965, %, 28, 15, % 
chebychev, centroid, f_score, 0.449714, f_score_similar, 0.449714, Avg_gene_dist, 32.882, simmialr gene dist, 0, variance, 576, inconsistency, 1.26628, cophenet, 0.970857, roughness, 36.6582, %, 28, 16, % 
cosine, centroid, f_score, 0.43801, f_score_similar, 0.43801, Avg_gene_dist, 30.5061, simmialr gene dist, 0, variance, 590, inconsistency, 1.60363, cophenet, 0.989527, roughness, 0.021441, %, 28, 17, % 
spearman, centroid, f_score, 0.433929, f_score_similar, 0.433929, Avg_gene_dist, 30.6779, simmialr gene dist, 0, variance, 694, inconsistency, 1.19005, cophenet, 0.976202, roughness, 0.0161703, %, 28, 18, % 
euclidean, complete, f_score, 0.437469, f_score_similar, 0.437469, Avg_gene_dist, 32.6864, simmialr gene dist, 0, variance, 562, inconsistency, 1.20337, cophenet, 0.976171, roughness, 48.1879, %, 28, 19, % 
seuclidean, complete, f_score, 0.455272, f_score_similar, 0.455272, Avg_gene_dist, 30.5019, simmialr gene dist, 0, variance, 608, inconsistency, 1.05731, cophenet, 0.96455, roughness, 0.534284, %, 28, 20, % 
cityblock, complete, f_score, 0.436279, f_score_similar, 0.436279, Avg_gene_dist, 32.8596, simmialr gene dist, 0, variance, 530, inconsistency, 1.21321, cophenet, 0.967438, roughness, 92.021, %, 28, 21, % 
minkowski, complete, f_score, 0.437469, f_score_similar, 0.437469, Avg_gene_dist, 32.6864, simmialr gene dist, 0, variance, 562, inconsistency, 1.20337, cophenet, 0.976171, roughness, 48.1879, %, 28, 22, % 
chebychev, complete, f_score, 0.457537, f_score_similar, 0.457537, Avg_gene_dist, 32.3201, simmialr gene dist, 0, variance, 484, inconsistency, 1.24105, cophenet, 0.967791, roughness, 38.0588, %, 28, 23, % 
cosine, complete, f_score, 0.445748, f_score_similar, 0.445748, Avg_gene_dist, 30.7581, simmialr gene dist, 0, variance, 618, inconsistency, 1.60535, cophenet, 0.96337, roughness, 0.021415, %, 28, 24, % 
spearman, complete, f_score, 0.447024, f_score_similar, 0.447024, Avg_gene_dist, 30.2297, simmialr gene dist, 0, variance, 586, inconsistency, 1.08313, cophenet, 0.855358, roughness, 0.0184532, %, 28, 25, % 
euclidean, median, f_score, 0.449714, f_score_similar, 0.449714, Avg_gene_dist, 32.7048, simmialr gene dist, 0, variance, 550, inconsistency, 1.23834, cophenet, 0.977891, roughness, 48.2839, %, 28, 26, % 
seuclidean, median, f_score, 0.426998, f_score_similar, 0.426998, Avg_gene_dist, 31.996, simmialr gene dist, 0, variance, 662, inconsistency, 1.05181, cophenet, 0.964492, roughness, 0.545057, %, 28, 27, % 
cityblock, median, f_score, 0.423495, f_score_similar, 0.423495, Avg_gene_dist, 32.7251, simmialr gene dist, 0, variance, 552, inconsistency, 1.25307, cophenet, 0.977769, roughness, 87.7097, %, 28, 28, % 
